title,location,type,bed,bath,area,price
"A 1750 Sq Ft Residence For Rent With Spacious Bedrooms, Located At Kallyanpur","Kallyanpur, Mirpur, Dhaka",Apartment,3,3,"1,750 sqft",20 Thousand
Here Is A Moderate Residence Of 700 Sq Ft Waiting For Rent At West Matikata Beside To Baitul Mamur Jame Masjid.,"Matikata, Cantonment, Dhaka",Apartment,2,2,700 sqft,12 Thousand
"A Convenient Home Of 1400 Sq Ft For Rent In Mirpur, Kallyanpur","Kallyanpur, Mirpur, Dhaka",Apartment,3,3,"1,400 sqft",18 Thousand
We Are Presenting To You This 1500 Sq Ft Cozy Flat For Renting Purpose In Kallyanpur Near Kallyanpur Bus Stand,"Kallyanpur, Mirpur, Dhaka",Apartment,3,3,"1,500 sqft",18 Thousand
"Experience Better Residential Days By Renting This 1380 Sq Ft Flat In Mirpur, Kallyanpur","Kallyanpur, Mirpur, Dhaka",Apartment,3,3,"1,380 sqft",18 Thousand
Offering you 1750 SQ FT apartment to Rent in Kallyanpur,"Kallyanpur, Mirpur, Dhaka",Apartment,3,3,"1,750 sqft",20 Thousand
This 1450 sq. ft home will ensure your good quality of living in Kallyanpur,"Kallyanpur, Mirpur, Dhaka",Apartment,3,3,"1,450 sqft",18 Thousand
Well-constructed 1200 SQ FT home is now offering to you in Kallyanpur for rent,"Kallyanpur, Mirpur, Dhaka",Apartment,3,3,"1,200 sqft",16 Thousand
Check This Flat In Mirpur Next To Chapra Masjid For Rent Which Is Ready To Move In,"North Pirerbag, Pirerbag, Mirpur, Dhaka",Apartment,2,2,"1,050 sqft",16 Thousand
"Vacant Now! This 600 Sq Ft Flat For Rent With Lovely Facilities At Mirpur-6, Block A","Block A, Section 6, Mirpur, Dhaka",Apartment,2,2,600 sqft,14 Thousand
We Are Suggesting You To Rent This 1350 Sq Ft Updated Flat In Uttara-13,"Sector 13, Uttara, Dhaka",Apartment,3,3,"1,350 sqft",25 Thousand
"Properly Constructed Flat Of 900 Sq Ft Is Vacant For Rent In Uttara, Sector 11","Sector 11, Uttara, Dhaka",Apartment,2,2,900 sqft,20 Thousand
A very beautiful 1150 SQ FT flat is now available for rent in Shah Ali Bag,"Section 1, Mirpur, Dhaka",Apartment,3,3,"1,150 sqft",20 Thousand
"1150 Sq Ft Flat Is Available For Rent In Shah Ali Bag, Mirpur -1","Section 1, Mirpur, Dhaka",Apartment,3,3,"1,150 sqft",20 Thousand
"Picture yourself in this residential apartment of 1150 SQ FT for rent in Mirpur 1, Shah Ali Bag","Section 1, Mirpur, Dhaka",Apartment,3,3,"1,150 sqft",20 Thousand
1150 SQ FT road sided apartment for rent in Shah Ali Bag,"Section 1, Mirpur, Dhaka",Apartment,3,3,"1,150 sqft",20 Thousand
"Plan To Move In This 1100 Sq Ft Apartment Ready For Rent In Mirpur, Ahmed Nagar","Ahmed Nagar, Mirpur, Dhaka",Apartment,3,3,"1,100 sqft",16 Thousand
"Ready For Move In Check This 650 Sq Ft Home At Sher Shah Suri Road, Mohammadpur Is Up To Rent","Mohammadpur, Dhaka",Apartment,2,1,650 sqft,14 Thousand
Worthy 1100 SQ FT residence is for rent at Ibrahimpur,"Ibrahimpur, Dhaka",Apartment,3,2,"1,100 sqft",16 Thousand
In North Pirerbag A Standard Flat Is For Rent Beside To Pirerbag Baitul Mamun Central Jama Masjid,"Pirerbag, Mirpur, Dhaka",Apartment,2,2,600 sqft,11 Thousand
Grab This 700 Sq Ft Apartment For Rent In South Mollartek,"South Mollartek, Dakshin Khan, Dhaka",Apartment,2,2,700 sqft,12 Thousand
"Make This 1690 Sq Ft Flat Your Next Residing Location, Which Is Up For Rent In Nasirabad Nearby United Commercial Bank Limited.","O R Nizam Road Residential Area, Nasirabad, 15 No. Bagmoniram Ward, Chattogram",Apartment,3,3,"1,690 sqft",30 Thousand
"An Affordable Apartment Of 950 Sq. Ft Is Up For Rent In Pallabi , Very Next To Pallabi Phase 2 Central Mosque","Block F, Eastern Housing, Pallabi, Mirpur, Dhaka",Apartment,3,2,950 sqft,10.5 Thousand
Set Your Destination At This 1050 Sq Ft Flat Which Is Vacant Now For Rent In North Pirerbag,"Pirerbag, Mirpur, Dhaka",Apartment,3,2,"1,050 sqft",14 Thousand
"Start Your New Home, In This 800 Sq. Ft Comfortable Flat Which Is Up For Rent In North Kafrul Road.","Ibrahimpur, Dhaka",Apartment,2,2,800 sqft,10.5 Thousand
Ibrahimpur Offers You This Lovely Home Of 3 Bedroom Which Is Vacant Right Now For Rent,"Ibrahimpur, Dhaka",Apartment,3,3,"1,475 sqft",24 Thousand
An Apartment Of 750 Sq. Ft Is Up To Rent In The Location Of Senpara Parbata,"Senpara Parbata, Section 10, Mirpur, Dhaka",Apartment,2,2,750 sqft,15 Thousand
950 SQ FT apartment is now Vacant to rent in Double Mooring,"Saraipara, 12 No. Sarai Para Ward, Double Mooring, Chattogram",Apartment,2,2,950 sqft,10.5 Thousand
"Rarely Available A Spacious Apartment Is Up For Rent At Box Ali Munshi Road, Bandartila","CEPZ, Bandartila, 39 No. South Halishahar Ward, Halishahar, Chattogram",Apartment,2,2,750 sqft,12 Thousand
Offering You A 2800 Sq Ft Nice Flat For Rent In Banani Near Banani Police Station,"Banani, Dhaka",Apartment,3,3,"2,800 sqft",1.5 Lakh
A Ready 2800 Sq Ft Flat Is Available For Rent At Banani Nearby Banani Police Station,"Banani, Dhaka",Apartment,3,3,"2,800 sqft",1.5 Lakh
1250 Sq Ft Flat For Rent At Kolpolok R/a Near Kolpolok Public School,"Kolpolok R/A, 18 No. East Bakalia Ward, Bakalia, Chattogram",Apartment,3,3,"1,250 sqft",15 Thousand
Check This Apartment Up For Rent At Bandartila Near CEPZ Central Mosque,"CEPZ, Bandartila, 39 No. South Halishahar Ward, Halishahar, Chattogram",Apartment,2,2,"1,050 sqft",14 Thousand
Residential Apartment Is On Rent In Middle Paikpara Nearby Shah Shaheb Nagar Jame Masjid,"Middle Paikpara, Mirpur, Dhaka",Apartment,3,2,900 sqft,15 Thousand
"An Apartment With A View Is Ready For Rent At Uttara , Very Near To RUAP Masjid","Block A, Rajuk Uttara Apartment Project, Sector 18, Uttara, Dhaka",Apartment,3,3,"1,654 sqft",15 Thousand
"Apartment For Rent In West Khulshi, Near Masjid E Quba","Jalalabad Housing Society, West Khulshi, 9 No. North Pahartali Ward, Chattogram",Apartment,1,1,700 sqft,10 Thousand
1100 Sq Ft Flat For Rent In Bayazid- Khaza Goribe Newaz R/A,"Kamrabad Road, Aturar Depo, Bayazid, Chattogram",Apartment,3,2,"1,100 sqft",12 Thousand
950 Sq Ft Apartment For Rent In Banasree Nearby Banasree Bazar,"Block C, Banasree, Dhaka",Apartment,2,2,950 sqft,16 Thousand
1550 SQ FT Apartment for Rent in Uttara nearby Police Station,"Sector 3, Uttara, Dhaka",Apartment,3,4,"1,550 sqft",30 Thousand
"600 Sq Ft Apartment For Rent In Mirpur, Near Ehc Primary School","Mirpur, Dhaka",Apartment,2,1,600 sqft,10 Thousand
2900 Sq Ft Flat Is Now Vacant For Rent In Bagmoniram Close To Hafiz Park,"O R Nizam Road Residential Area, Nasirabad, 15 No. Bagmoniram Ward, Chattogram",Apartment,4,4,"2,900 sqft",45 Thousand
"1550 Sq Ft Feet Apartment Is Ready For Rent In Adabor, Baitul Aman Housing Society","Baitul Aman Housing Society, Adabor, Dhaka",Apartment,3,3,"1,550 sqft",30 Thousand
"A Perfect Home Of 650 Square Feet Is Up For Rent In Mirpur, Pallabi","Block C, Eastern Housing, Pallabi, Mirpur, Dhaka",Apartment,2,2,650 sqft,12 Thousand
Uncover Your Place In A 1200 Sq Ft Structurally Well Built Home For Rent In Bochila,"Bochila Garden City, Bochila, Mohammadpur, Dhaka",Apartment,3,3,"1,200 sqft",15 Thousand
"Get To Live In This Lovely Flat Of 1000 Sq Ft Up For Rent In Mirpur, Ahmed Nagar","East Ahmed Nagar, Ahmed Nagar, Mirpur, Dhaka",Apartment,3,2,"1,000 sqft",15 Thousand
"Modern home for residents | 1654 SQ FT Flat in Uttara, Sector 18 for rent","Block A, Rajuk Uttara Apartment Project, Sector 18, Uttara, Dhaka",Apartment,3,4,"1,654 sqft",15 Thousand
Modern home for residents | 1250 SQ FT Flat in Goltek for rent,"Cantonment, Dhaka",Apartment,3,3,"1,250 sqft",13 Thousand
Appealing property in Cantonment – 1250 SQ FT Flat for rent,"Cantonment, Dhaka",Apartment,3,3,"1,250 sqft",13 Thousand
Uncover Your Place In A 1250 Sq Ft Structurally Well Built Home For Rent In Cantonment,"Cantonment, Dhaka",Apartment,3,3,"1,250 sqft",13 Thousand
Don’t Waste Your Valuable Time! You Can Take This 1654 Sq Ft Apartment For Rent In Uttara 18,"Block A, Rajuk Uttara Apartment Project, Sector 18, Uttara, Dhaka",Apartment,3,4,"1,654 sqft",15 Thousand
"A Beautiful Apartment For Rent Is All Set For You In Rampura, Ullan","Ullan, Rampura, Dhaka",Apartment,3,3,"1,480 sqft",21 Thousand
Take this flat of 800 sq ft for rent to reside comfortably in Middle Paikpara,"Mirpur, Dhaka",Apartment,2,2,800 sqft,11.5 Thousand
Reasonably priced a residential flat of 1200 sq ft is ready for track down in West Agargaon,"Bonolota Abashik Elaka, West Agargaon, Agargaon, Dhaka",Apartment,3,3,"1,200 sqft",20 Thousand
Live in Excellence – 1200 SQ FT Flat for rent in West Kalachandpur,"West Kalachandpur, Kalachandpur, Dhaka",Apartment,3,3,"1,200 sqft",24 Thousand
Covering 700 sq. ft. space a nice flat is ready to rent in Kalachandpur,"West Kalachandpur, Kalachandpur, Dhaka",Apartment,2,2,700 sqft,15 Thousand
To Get A Trouble Free Life You Can Take Rent This 1200 Sq Ft House In Barontek,"Barontek, Cantonment, Dhaka",Apartment,3,3,"1,200 sqft",12 Thousand
"In The Suitable Location Of Pallabi, An Eye-catching Apartment Of 1365 Sq Ft Is Up For Rent","Pallabi, Mirpur, Dhaka",Apartment,3,3,"1,365 sqft",28 Thousand
To Get A Hassle Free Life You Can Take Rent This 1400 Sq Ft Home In 7 No. West Sholoshohor Ward,"7 No. West Sholoshohor Ward, Chattogram",Apartment,3,3,"1,400 sqft",22 Thousand
Check this flat in Pirerbag for rent which is ready to move in,"Middle Pirerbag, Pirerbag, Mirpur, Dhaka",Apartment,3,2,950 sqft,15 Thousand
Attain Your Desire Of renting This Decent 950 sq ft Flat In Middle Pirerbag,"Middle Pirerbag, Pirerbag, Mirpur, Dhaka",Apartment,3,2,950 sqft,15 Thousand
All set for rental purpose this 950 sq ft flat in a peaceful location of Pirerbag,"Middle Pirerbag, Pirerbag, Mirpur, Dhaka",Apartment,3,2,950 sqft,15 Thousand
"Make This 1530 Sq Feet Decent Flat Yours, By Renting It in Bashundhara R-A","Block C, Bashundhara R-A, Dhaka",Apartment,3,3,"1,530 sqft",28 Thousand
Attain Your Desire Of renting This Decent 800 sq ft Flat In North Pirerbag,"Pirerbag, Mirpur, Dhaka",Apartment,2,2,800 sqft,15 Thousand
"At Pirerbag, this 950 sq ft nice flat is up for rent within your affordability.","Pirerbag, Mirpur, Dhaka",Apartment,3,2,950 sqft,14 Thousand
700 Sq Ft Cozy Residential Flat For Rent In Joar Sahara,"Joar Sahara, Dhaka",Apartment,2,1,700 sqft,13 Thousand
600 Sq Ft Flat With Perfect Rooms For Rent In Middle Paikpara,"Middle Paikpara, Mirpur, Dhaka",Apartment,2,2,600 sqft,10.6 Thousand
"View This 1430 Sq Ft Flat For Rent In Middle Paikpara, Mirpur","Middle Paikpara, Mirpur, Dhaka",Apartment,3,3,"1,430 sqft",20 Thousand
"1450 Sq Ft Flat With Relaxing Rooms For Rent In Mirpur, Middle Paikpara","Middle Paikpara, Mirpur, Dhaka",Apartment,3,3,"1,450 sqft",20 Thousand
"Checkout This 800 Sq Ft Flat For Rent At Halishahar, Sabujbag","Sabujbag, Halishahar, Chattogram",Apartment,2,2,800 sqft,11 Thousand
"A Pleasant Flat Of 900 Sq Ft For Rent At Halishahar, Sabujbag","Sabujbag, Halishahar, Chattogram",Apartment,2,2,900 sqft,14 Thousand
Think About Renting This 950 Sq Ft Flat In North Kafrul Rd,"Kafrul, Dhaka",Apartment,3,2,950 sqft,20 Thousand
Be Content Renting This 800 Sq Ft Flat In Ibrahimpur,"Ibrahimpur, Dhaka",Apartment,2,2,800 sqft,16 Thousand
Let Us Lead You To This 800 Sq Ft Flat For Rent In North Kafrul Road,"Ibrahimpur, Dhaka",Apartment,2,2,800 sqft,15 Thousand
Consider Renting This 1190 Sq Ft With 2 Bedrooms Home In Rampura Close To Makki Masjid,"West Rampura, Rampura, Dhaka",Apartment,2,2,"1,190 sqft",40 Thousand
A Nicely Build 1250 Sq Ft And 3 Bedrooms Apartment Is Vacant For Rent In Bakalia .,"Bakalia, Chattogram",Apartment,3,2,"1,250 sqft",26 Thousand
In West Shewrapara This Apartment Is Up For Rent Which Is 1200 Sq Ft,"Mirpur, Dhaka",Apartment,4,3,"1,200 sqft",16 Thousand
To Settle Comfortably You Can Take This 900 Sq Ft Home For Rent In Bayazid,"Block A, Hill View R/A, Bayazid, Chattogram",Apartment,2,2,900 sqft,10.5 Thousand
We Are Offering To You This 2800 Sq Ft Lovely Duplex For Renting Purposes In Bashundhara R-A,"Block F, Bashundhara R-A, Dhaka",Duplex,6,6,"2,800 sqft",65 Thousand
Contact Us To Get 2062 Sq Ft Flat Which Is Now Available In Shahbagh For Rent,"Shahbagh, Dhaka",Apartment,4,3,"2,062 sqft",50 Thousand
Worthy 1500 SQ FT Nice home is ready to Rent at Bashundhara R-A,"Block G, Bashundhara R-A, Dhaka",Apartment,3,3,"1,500 sqft",50 Thousand
"Feel The Mild Breezes From The Large Windows Of This 1500 Sq Ft Flat For Rent In Bashundhara Residential Area, Block G","Block G, Bashundhara R-A, Dhaka",Apartment,3,3,"1,500 sqft",50 Thousand
Consider Renting This 650 Sq Ft With 2 Bedrooms Home In N Kazipara Mosque Rd.,"East Kazipara, Mirpur, Dhaka",Apartment,2,2,650 sqft,11.5 Thousand
Deal With This Offer Of Renting A Great Flat Of 1450 Sq Ft In The Area Of 15 No. Bagmoniram Ward,"Dampara, 15 No. Bagmoniram Ward, Chattogram",Apartment,3,3,"1,450 sqft",30 Thousand
"700 Sq Ft Apartment With Vibrant Rooms For Rent In Dakshin Khan, Faydabad","Faydabad, Dakshin Khan, Dhaka",Apartment,2,2,700 sqft,12 Thousand
700 Sq Ft Apartment With A Calm Atmosphere Is Up For Rent In North Azampur,"North Azampur, Dakshin Khan, Dhaka",Apartment,2,2,700 sqft,14 Thousand
"700 Sq Ft Apartment For Rent In Dakshin Khan, North Azampur","North Azampur, Dakshin Khan, Dhaka",Apartment,2,2,700 sqft,14 Thousand
"Get The Chance To Live In A Peaceful Area Of Mirpur, By Renting This 1450 Sq Ft Flat","Kallyanpur, Mirpur, Dhaka",Apartment,3,3,"1,450 sqft",18 Thousand
"1200 Sq Ft Flat With A Relaxing Surrounding Is Up For Rent In Mirpur, Kallyanpur","Kallyanpur, Mirpur, Dhaka",Apartment,3,3,"1,200 sqft",16 Thousand
"We Want You To Visit This Great 1380 Sq Ft Flat For Rent In Mirpur, Kallyanpur","Kallyanpur, Mirpur, Dhaka",Apartment,3,3,"1,380 sqft",17 Thousand
A Great residence for renting purposes with a space of 1380 SQ FT is available in Kallyanpur,"Kallyanpur, Mirpur, Dhaka",Apartment,3,3,"1,380 sqft",17 Thousand
"Reside at ease, in this 1750 SQ FT flat for rent in Kallyanpur","Kallyanpur, Mirpur, Dhaka",Apartment,3,3,"1,750 sqft",20 Thousand
"To Reside Comfortably You Can Take This 1800 Sq Ft Flat For Rent In Science Museum To Water Tank Road, Agargaon","Agargaon, Dhaka",Apartment,4,4,"1,800 sqft",30 Thousand
This 750 Sq Ft Well-Defined Flat Is Now Vacant For Rent In West Kalachandpur,"West Kalachandpur, Kalachandpur, Dhaka",Apartment,2,2,750 sqft,13 Thousand
Ready To Move In? Visit This 700 Sq. Ft Rental Property At Gawair,"Gawair, Dakshin Khan, Dhaka",Apartment,2,2,700 sqft,10 Thousand
"Ready For Move In? Check This 700 Sq Ft Home At Kolil Box Road, Dakshin Khan","Gawair, Dakshin Khan, Dhaka",Apartment,2,2,700 sqft,10 Thousand
"Now You Can Afford To Dwell Well, Check This 2 Bedroom Apartment At Kolil Box Road, Gawair","Gawair, Dakshin Khan, Dhaka",Apartment,2,2,700 sqft,10 Thousand
500 Sq Ft Budget Friendly Flat Is Up For Rent In West Manikdi,"Manikdi, Cantonment, Dhaka",Apartment,2,1,500 sqft,10 Thousand
"View This 650 Sq Ft Flat For Rent In Mirpur, Section 12, Block E","Block E, Section 12, Mirpur, Dhaka",Apartment,2,2,650 sqft,12 Thousand
Look At This Nice 1200 Square Feet Residential Flat Is Up For Rent At Kallyanpur,"Kallyanpur, Mirpur, Dhaka",Apartment,3,3,"1,200 sqft",16 Thousand
1100 Square Feet Flat Is Available For Rent At Kallyanpur Main Road,"Kallyanpur, Mirpur, Dhaka",Apartment,3,2,"1,100 sqft",17 Thousand
A Nice Home Of 850 Sq Ft Is Up To Rent At West Manikdi,"Manikdi, Cantonment, Dhaka",Apartment,3,2,850 sqft,12 Thousand
A well-defined residential apartment of 1350 SQ FT is available for rent in Baridhara,"Block J, Baridhara, Dhaka",Apartment,3,3,"1,350 sqft",60 Thousand
Comfortable and well-designed apartment of 950 SQ FT in Uttara 11 for rent,"Sector 11, Uttara, Dhaka",Apartment,2,2,950 sqft,18.5 Thousand
"Get comfortable in a 700 SQ FT flat for rent in East Azampur, Dakshin Khan","East Azampur, Dakshin Khan, Dhaka",Apartment,2,2,700 sqft,11 Thousand
"1244 Sq Ft Flat For Rent In Mirpur, South Paikpara Main Road","Mirpur, Dhaka",Apartment,3,3,"1,244 sqft",16 Thousand
"A Secured Flat Of 700 Sq Ft Is For Rent In Faydabad, Dakshin Khan","Faydabad, Dakshin Khan, Dhaka",Apartment,2,2,700 sqft,12 Thousand
Get comfortable in a 700 SQ FT flat for rent in Goaltek Prodhan Sharok,"Faydabad, Dakshin Khan, Dhaka",Apartment,2,2,700 sqft,13 Thousand
Reside conveniently in this well-constructed 700 SQ FT flat for rent in Faydabad,"Faydabad, Dakshin Khan, Dhaka",Apartment,2,2,700 sqft,13 Thousand
Get comfortable in a 1300 SQ FT flat for rent in Bashundhara R-A,"Block I, Bashundhara R-A, Dhaka",Apartment,3,3,"1,300 sqft",21 Thousand
Take A Tour Of This 900 Sq Ft Flat For Rent In Uttara-13,"Sector 13, Uttara, Dhaka",Apartment,2,2,900 sqft,20 Thousand
Visit This 1500 Sq Ft Flat For Rent In Uttara-13,"Sector 13, Uttara, Dhaka",Apartment,3,3,"1,500 sqft",25 Thousand
Well-developed 650 SQ FT Residence up for rent in Vashantek,"Vashantek, Cantonment, Dhaka",Apartment,2,2,650 sqft,10 Thousand
"Well-built and properly designed residential apartment of 700 SQ FT in Dakshin Khan, Sobur khan Road for rent","Dakshin Khan, Dhaka",Apartment,2,2,700 sqft,14 Thousand
A well-defined residential apartment of 700 SQ FT is available for rent in Dakshin Khan,"Dakshin Khan, Dhaka",Apartment,2,2,700 sqft,14 Thousand
"1000 Square Feet Apartment With Distinct Qualities Is For Rent In Mirpur, West Shewrapara","West Shewrapara, Mirpur, Dhaka",Apartment,3,2,"1,000 sqft",15 Thousand
Here Is A Cozy And Nice Flat Of 1300 Sq Ft Waiting For Rent At Joar Sahara,"Joar Sahara, Dhaka",Apartment,3,3,"1,300 sqft",24 Thousand
"750 Square Feet Apartment Is Ready For Rent At Block B, Mirpur-12 Nearby Bongobandhu Sheikh Mujibor College","Block B, Section 12, Mirpur, Dhaka",Apartment,2,2,750 sqft,15 Thousand
All Set For Rental Purpose This 1200 Sq Ft Flat In A Peaceful Location Of West Manikdi,"Manikdi, Cantonment, Dhaka",Apartment,3,3,"1,200 sqft",16 Thousand
All Set For Rental Purpose This 650 Sq Ft Flat In A Peaceful Location Of Mirpur-12 Close To Islami Bank Bangladesh Ltd.,"Block B, Section 12, Mirpur, Dhaka",Apartment,2,2,650 sqft,12.5 Thousand
650 Sq Ft Apartment Is Ready For Rent At Mirpur-12 Nearby Dutch-bangla Bank Limited,"Block B, Section 12, Mirpur, Dhaka",Apartment,2,2,650 sqft,15.5 Thousand
"With An Awesome Environment A 2000 Sq Ft Flat Is Vacant For Rent In Block J, Baridhara","Block J, Baridhara, Dhaka",Apartment,3,3,"2,000 sqft",50 Thousand
"Attractive Apartment Of 2000 Sq Ft Is Up For Rent At Block J, Baridhara","Block J, Baridhara, Dhaka",Apartment,3,3,"2,000 sqft",50 Thousand
650 Sq Ft Apartment With 2 Bedrooms Is Ready For Rent In Mirpur-12,"Block B, Section 12, Mirpur, Dhaka",Apartment,2,2,650 sqft,14 Thousand
Immaculate Three Bedrooms Apartment In West Manikdi Is Up For Rent,"Manikdi, Cantonment, Dhaka",Apartment,3,3,"1,200 sqft",16 Thousand
"A nice residential flat of 800 SQ FT, for rent, can be found in Mirpur 12","Block B, Section 12, Mirpur, Dhaka",Apartment,3,3,800 sqft,22 Thousand
"For Conducting A Secure Life You Can Take Rent 1460 Sq Ft Apartment At O. R. Nizam Road, 15 No. Bagmoniram Ward","15 No. Bagmoniram Ward, Chattogram",Apartment,3,3,"1,460 sqft",33 Thousand
"You Can Move In This 2000 Sq Ft Attractive Apartment At Baridhara, Block J, Which Is Ready To Rent","Block J, Baridhara, Dhaka",Apartment,3,3,"2,000 sqft",50 Thousand
Settle In This 800 Sq Ft Comfortable Flat For Rent At 7 No. West Sholosohor Ward,"7 No. West Sholoshohor Ward, Chattogram",Apartment,2,2,800 sqft,12 Thousand
2038 Square Feet Residential Apartment Is Up For Rent In Bashundhara R-A Nearby Dutch Bangla Bank Ltd.,"Block A, Bashundhara R-A, Dhaka",Apartment,3,4,"2,038 sqft",40 Thousand
Let Us Assist You To Rent This Flat Obtaining The Vision About Your Future Home In South Pirerbag,"Pirerbag, Mirpur, Dhaka",Apartment,3,2,"1,100 sqft",15 Thousand
"A nice residential flat of 1250 SQ FT, for rent, can be found in Matikata","Matikata, Cantonment, Dhaka",Apartment,3,3,"1,250 sqft",18 Thousand
1450 Square Feet Apartment With 3 Amazing Bedrooms For Rent In Uttara-7,"Sector 7, Uttara, Dhaka",Apartment,3,3,"1,450 sqft",30 Thousand
"In The Convenient Location Of Dakshin Kattali, An Attractive Flat Of 1200 Sq Ft Is Up For Rent","Dakshin Kattali, 11 No. South Kattali Ward, Chattogram",Apartment,3,3,"1,200 sqft",20 Thousand
All Set For Rental Purpose This 1200 Sq Ft Flat In A Peaceful Location Of 11 No. South Kattali Ward,"Dakshin Kattali, 11 No. South Kattali Ward, Chattogram",Apartment,3,3,"1,200 sqft",20 Thousand
"Make This 1200 Sq Feet Decent Flat Yours, By Renting It In Dakshin Kattali-Chodu Chowdhury Road.","Dakshin Kattali, 11 No. South Kattali Ward, Chattogram",Apartment,3,3,"1,200 sqft",20 Thousand
A Fantastic Flat Of 800 Sq Ft Is Waiting For Rent At East Shewrapara Close To Dhaka Bank Limited,"Mirpur, Dhaka",Apartment,2,2,800 sqft,10 Thousand
"A Fantastic Flat Of 1400 Sq Ft Is Waiting For Rent At Jhilpar, Middle Pirerbag","Middle Pirerbag, Pirerbag, Mirpur, Dhaka",Apartment,3,3,"1,400 sqft",20 Thousand
"This 600 Sq Ft Flat With 2 Bedrooms For Rent In Mirpur, Pirerbag","Middle Pirerbag, Pirerbag, Mirpur, Dhaka",Apartment,2,2,600 sqft,10.5 Thousand
"Start a new home, in this 850 SQ FT apartment for rent in 14 No. Lalkhan Bazaar Ward","Dampara, 14 No. Lalkhan Bazaar Ward, Lal Khan Bazaar, Chattogram",Apartment,2,2,850 sqft,14 Thousand
Well-developed 1600 SQ FT Residence up for rent in Lal Khan Bazaar,"Dampara, 14 No. Lalkhan Bazaar Ward, Lal Khan Bazaar, Chattogram",Apartment,4,3,"1,600 sqft",26 Thousand
Well-built and properly designed residential apartment of 850 SQ FT in Pallabi for rent,"Block B, Pallabi, Mirpur, Dhaka",Apartment,2,2,850 sqft,15 Thousand
Take A Quick Look At This 700 Sq Ft Flat For Rent In Aainusbag,"Aainusbag, Dakshin Khan, Dhaka",Apartment,2,2,700 sqft,11 Thousand
"An Apartment Is Ready For Rent At Uttara, Sector 14.","Sector 14, Uttara, Dhaka",Apartment,2,2,900 sqft,19 Thousand
"At Pallabi Eastern Housing, A 1100 Sq Ft Well Fitted Residential Property Is On Rent.","Block B, Eastern Housing, Pallabi, Mirpur, Dhaka",Apartment,3,3,"1,100 sqft",20 Thousand
1100 Sq. ft Apartment Is Available For Rent In Pallabi Eastern Housing-Block B Which Is Tailored To Your Highest Standards,"Block B, Eastern Housing, Pallabi, Mirpur, Dhaka",Apartment,3,3,"1,100 sqft",20 Thousand
"700 Square Feet Residential Flat Is Up For Rent In South Azampur, With Amazing Local Amenities","South Azampur, Dakshin Khan, Dhaka",Apartment,2,2,700 sqft,10 Thousand
1100 Square Feet Apartment Is Waiting For Rent At Senpara Parbata,"Section 10, Mirpur, Dhaka",Apartment,3,3,"1,100 sqft",16 Thousand
1400 Sq. ft Apartment Is Available For Rent In Dakkhin Paikpara Near Baitus Salam Jame Masjid Which Is Tailored To Your Highest Standards.,"Dakkhin Paikpara, Paikpara, Mirpur, Dhaka",Apartment,3,3,"1,400 sqft",18 Thousand
"Available For Rental Purpose, This 700 Sq Ft Apartment In West Mollartek","West Mollartek, Dakshin Khan, Dhaka",Apartment,2,2,700 sqft,11 Thousand
Celebrate Life Each Day In Your New Apartment Of 1200 Sq Ft At South Azampur With Your Beloved Family,"South Azampur, Dakshin Khan, Dhaka",Apartment,3,3,"1,200 sqft",20 Thousand
Great Location! Check Out This 650 Square Ft. Flat For Rent In West Manikdi.,"Manikdi, Cantonment, Dhaka",Apartment,2,2,650 sqft,11 Thousand
Grab This Lovely Flat For Rent In Faydabad Beside To Baitul Noir Jame Masjid Before It's Rented Out.,"TIC Colony, Faydabad, Dakshin Khan, Dhaka",Apartment,2,2,700 sqft,11 Thousand
A Great residence for renting purposes with a space of 700 SQ FT is available in Faydabad,"TIC Colony, Faydabad, Dakshin Khan, Dhaka",Apartment,2,2,700 sqft,11 Thousand
Get comfortable in a 700 SQ FT flat for rent in TIC Colony,"TIC Colony, Faydabad, Dakshin Khan, Dhaka",Apartment,2,2,700 sqft,11 Thousand
Well-developed 700 SQ FT Residence up for rent in Dakshin Khan,"TIC Colony, Faydabad, Dakshin Khan, Dhaka",Apartment,2,2,700 sqft,11 Thousand
"Comfortable, convenient and well-constructed 1150 SQ FT flat for rent in Shah Ali Bag","Shah Ali Bag, Section 1, Mirpur, Dhaka",Apartment,3,3,"1,150 sqft",17 Thousand
"A nice residential flat of 1100 SQ FT, for rent, can be found in Shah Ali Bag","Shah Ali Bag, Section 1, Mirpur, Dhaka",Apartment,3,3,"1,100 sqft",17 Thousand
Reside conveniently in this well-constructed 1150 SQ FT flat for rent in Mirpur 1,"Shah Ali Bag, Section 1, Mirpur, Dhaka",Apartment,3,3,"1,150 sqft",17 Thousand
Move in and inhabit this 1150 SQ FT properly constructed apartment for rent in Shah Ali Bag,"Shah Ali Bag, Section 1, Mirpur, Dhaka",Apartment,3,3,"1,150 sqft",17 Thousand
"Reside at ease, in this 1000 SQ FT flat for rent in Uttara 5","Sector 5, Uttara, Dhaka",Apartment,3,2,"1,000 sqft",20 Thousand
"Select This 650 Sq Ft Flat As Your Next Residing Location, Right In Mirpur-12","Section 12, Mirpur, Dhaka",Apartment,2,2,650 sqft,14 Thousand
Let Us Serve You With A Decent Flat Of 900 Sq Ft In Uttara-5,"Sector 5, Uttara, Dhaka",Apartment,2,2,900 sqft,18 Thousand
